"X","Brand_Description","Price","Review_Count","Rating"
4," VersaceEros for Men 3.4 oz Eau de Parfum Spray  3.4 Fl Oz (Pack of 1)4.7 out of 5 stars 4,009  3K+ bought in past month$71.99$71.99 ($21.17$21.17/Fl Oz) List: $102.00$102.00FREE delivery Mar 4 - 7 Or fastest delivery Mar 1 - 6 More Buying Choices$69.00(19 new offers)","71","3.4 Fl Oz (Pack of 1)","4.7 out of 5 stars"
5," VersaceEros Flame for Men 3.4 oz Eau de Parfum Spray  Floral3.4 Fl Oz (Pack of 1)Options:4 sizes, 5 scents4.5 out of 5 stars 14,690  2K+ bought in past month$63.99$63.99 ($18.82$18.82/Fl Oz) List: $102.00$102.00FREE delivery Fri, Mar 1 Only 11 left in stock - order soon.More Buying Choices$62.94(28 new offers)","63","Floral","4.5 out of 5 stars"
6," VersaceEros Eau de Toilette Spray for Men, 1.7 Ounce  Fresh1.7 Fl Oz (Pack of 1)4.7 out of 5 stars 3,257  1K+ bought in past month$42.91$42.91 ($25.24$25.24/Fl Oz) Typical: $45.44$45.44Save more with Subscribe & Save FREE delivery Sat, Mar 2 Or fastest delivery Fri, Mar 1 More Buying Choices$38.00(26 new offers)","42","Fresh","4.7 out of 5 stars"
7," VersaceEros Men's Mini EDT  0.17 Fl Oz (Pack of 1)4.0 out of 5 stars 24,414  7K+ bought in past month$8.99$8.99 ($52.88$52.88/Fl Oz) Typical: $9.99$9.99FREE delivery Fri, Mar 1 More Buying Choices$7.99(30 new offers)","8","0.17 Fl Oz (Pack of 1)","4.0 out of 5 stars"
8," VersaceEros for Men Eau de Parfum Spray, 6.7 Ounce  Amber Woody6.7 Fl Oz (Pack of 1)Options:3 sizes, 3 scents4.7 out of 5 stars 1,896  800+ bought in past month$79.49$79.49 ($12.42$12.42/Fl Oz) List: $135.00$135.00 FREE delivery Fri, Mar 8 More Buying Choices$78.00(43 new offers)","79","Amber Woody","4.7 out of 5 stars"
9," VersaceEros for Men 3.4 oz Eau de Toilette Spray  Citrus3.4 Fl Oz (Pack of 1)Options:5 sizes, 6 scents4.7 out of 5 stars 2,945  100+ bought in past month$51.00$51.00 ($15.00$15.00/Fl Oz) List: $98.00$98.00FREE delivery Feb 29 - Mar 1 Only 4 left in stock - order soon.","51","Citrus","4.7 out of 5 stars"
10," VersaceEros Pour Femme Eau de Parfum Spray, 3.4 Ounce  Lemon3.38 Fl Oz (Pack of 1)4.6 out of 5 stars 2,801  800+ bought in past month$61.50$61.50 ($18.09$18.09/Fl Oz) List: $150.00$150.00FREE delivery Fri, Mar 1 Only 4 left in stock - order soon.More Buying Choices$52.00(36 new offers)","61","Lemon","4.6 out of 5 stars"
11," VersaceEros By Versace Edt Spray For Men 6.7 ounces  6.7 Fl Oz (Pack of 1)4.7 out of 5 stars 2,504  200+ bought in past month$73.14$73.14 ($10.92$10.92/Fl Oz)FREE delivery Mar 6 - 11 More Buying Choices$69.81(27 new offers)","73","6.7 Fl Oz (Pack of 1)","4.7 out of 5 stars"
12," VersaceEros Eau De Parfum Spray for Women, 3.4 Fl Oz (Pack of 1)  Jasmine3.4 Fl Oz (Pack of 1)4.7 out of 5 stars 2,142  200+ bought in past month$64.20$64.20 ($18.88$18.88/Fl Oz) List: $120.00$120.00Save more with Subscribe & Save FREE delivery Sat, Mar 2 Or fastest delivery Thu, Feb 29 More Buying Choices$60.98(12 new offers)","64","Jasmine","4.7 out of 5 stars"
13," VersaceEros by Versace for Men - 3.4 oz EDT Spray (Tester)  Cedar,Lemon,Mint,Vanilla3.4 Fl Oz (Pack of 1)Options:2 sizes, 2 scents4.4 out of 5 stars 549  100+ bought in past month$50.00$50.00 ($14.71$14.71/Fl Oz) List: $65.34$65.34 FREE delivery Mon, Mar 4 More Buying Choices$47.58(14 new offers)","50","Cedar,Lemon,Mint,Vanilla","4.4 out of 5 stars"
14," VersaceEros by versace 0.17 oz (5 ml) EDT Splash Men Mini NEW IN BOX  Woody, Oriental, Fresh4.0 out of 5 stars 15  200+ bought in past month$9.19$9.19 ($54.06$54.06/Fl Oz) List: $11.00$11.00FREE delivery Mar 4 - 5 More Buying Choices$6.55(7 new offers)","9","Woody, Oriental, Fresh","4.0 out of 5 stars"
15," VersaceEros Eau de Toilette Spray for Women, 3.4 Ounce  Lemon3.4 Fl Oz (Pack of 1)4.7 out of 5 stars 883  200+ bought in past month$57.87$57.87 ($17.02$17.02/Fl Oz) List: $96.00$96.00Save more with Subscribe & Save FREE delivery Sat, Mar 2 Or fastest delivery Thu, Feb 29 More Buying Choices$53.00(24 new offers)","57","Lemon","4.7 out of 5 stars"
16," VersaceEros Eau De Parfum Spray Spray for Men 1.7 Ounce  Amber Fougere1.7 Fl Oz (Pack of 1)4.7 out of 5 stars 74  100+ bought in past month$45.00$45.00 ($26.47$26.47/Fl Oz) List: $63.00$63.00Save more with Subscribe & SaveFREE delivery","45","Amber Fougere","4.7 out of 5 stars"
17," VersaceEros After Shave Lotion, 3.4 Fluid Ounce  3.4 Fl Oz (Pack of 1)4.4 out of 5 stars 464  50+ bought in past month$43.96$43.96 ($12.93$12.93/Fl Oz) List: $55.00$55.00Save more with Subscribe & Save FREE delivery Fri, Mar 8 More Buying Choices$43.92(14 new offers)","43","3.4 Fl Oz (Pack of 1)","4.4 out of 5 stars"
18," VersaceEros Eau De Parfum Travel Sample Spray Vial .03 Oz/1 Ml  Versace Eros0.03 Fl Oz (Pack of 1)3.7 out of 5 stars 63  100+ bought in past month$6.06$6.06 ($202.00$202.00/Fl Oz) Typical: $7.74$7.74FREE delivery Thu, Feb 29 Only 5 left in stock - order soon.More Buying Choices$3.99(14 new offers)","6","Versace Eros","3.7 out of 5 stars"
19," VersaceVersace Eros Men 3 Pc GiftSet  Lemon,Mint3 Piece Set4.7 out of 5 stars 462  100+ bought in past month$84.95$84.95 ($84.95$84.95/Count)FREE delivery Mar 11 - 12 Only 9 left in stock - order soon.","84","Lemon,Mint","4.7 out of 5 stars"
20," VersaceEROS by Gianni Versace EDT .17 OZ MINI for MEN ---(Package Of 3)  5.0 out of 5 stars 1  $21.49$21.49 ($126.41$126.41/Fl Oz)FREE delivery Mar 4 - 5 ","21","1","5.0 out of 5 stars"
21," VersaceEros Pour Femme Eau de Parfum, 1.7 Ounce  EROS POUR FEMME1.7 Fl Oz (Pack of 1)Options:3 sizes4.2 out of 5 stars 6,526  50+ bought in past month$42.99$42.99 ($25.29$25.29/Fl Oz) List: $92.00$92.00 FREE delivery Sat, Mar 2 Or fastest delivery Fri, Mar 1 More Buying Choices$39.95(20 new offers)Another way to buy  $39.95$39.95 ($23.50$23.50/Fl Oz) List: $92.00$92.00 FREE delivery Mar 6 - 13 Or fastest delivery Thu, Feb 29  Only 1 left in stock - order soon.  ","42","EROS POUR FEMME","4.2 out of 5 stars"
22," Eros For Men By Versace, 100 ml / 3.4 oz Eau de Toilette Spray  5.0 out of 5 stars 1  $79.29$79.29 ($23.32$23.32/Fl Oz)FREE delivery Mar 4 - 5 More Buying Choices$78.99(4 new offers)","79","1","5.0 out of 5 stars"
23," VersaceEROS by Gianni Versace, EAU DE PARFUM SPRAY 3.4 OZ & EAU DE PARFUM SPRAY 0.33 OZ MINI  Fresh2 Piece Set4.7 out of 5 stars 6  $91.99$91.99 ($24.66$24.66/Fl Oz)FREE delivery Fri, Mar 1 Only 5 left in stock - order soon.More Buying Choices$90.98(6 new offers)","91","Fresh","4.7 out of 5 stars"
24," VersaceEros Invigorating Shower Gel 250ml 8.4 Oz  8.45 Fl Oz (Pack of 1)4.6 out of 5 stars 654  300+ bought in past month$30.60$30.60 ($3.64$3.64/Fl Oz) List: $45.00$45.00 FREE delivery Mon, Mar 4 on $35 of items shipped by AmazonMore Buying Choices$30.10(23 new offers)","30","8.45 Fl Oz (Pack of 1)","4.6 out of 5 stars"
25," VersaceEros Flame Cologne for Men Mini Gift Set  3 Piece Set4.4 out of 5 stars 433  500+ bought in past month$25.95$25.95 ($25.95$25.95/Count) FREE delivery Mon, Mar 4 on $35 of items shipped by AmazonMore Buying Choices$25.94(3 new offers)","25","3 Piece Set","4.4 out of 5 stars"
26," Versace5 Eros EDT Travel Sample Spray Vial 0.03 Oz/1 Ml Each Lot  0.03 Fl Oz (Pack of 5)3.8 out of 5 stars 34  $15.99$15.99 ($106.60$106.60/Fl Oz)FREE delivery Mar 1 - 5 Only 12 left in stock - order soon.More Buying Choices$13.95(4 new offers)","15","0.03 Fl Oz (Pack of 5)","3.8 out of 5 stars"
27," VersaceEros Fragrance Set, 2 Count  Eros2 Count (Pack of 1)Options:2 sizes, 2 scents4.7 out of 5 stars 932  50+ bought in past month$67.45$67.45 ($67.45$67.45/Count) List: $76.00$76.00FREE delivery Fri, Mar 1 Only 18 left in stock - order soon.","67","Eros","4.7 out of 5 stars"
28," VersaceEros Perfumed Deodorant Spray, 3.4 Ounce  Versace Eros3.4 Fl Oz (Pack of 1)Options:2 sizes, 3 scents4.6 out of 5 stars 1,315  100+ bought in past month$47.86$47.86 ($14.08$14.08/Fl Oz) FREE delivery Sat, Mar 2 Or fastest delivery Thu, Feb 29 ","47","Versace Eros","4.6 out of 5 stars"
29," VersaceEros for Men 3.4 oz Eau de Toilette Spray  Fresh3.4 Fl Oz (Pack of 1)4.7 out of 5 stars 3,966  50+ bought in past month$59.98$59.98 ($17.64$17.64/Fl Oz) FREE delivery Fri, Mar 8 More Buying Choices$54.00(29 new offers)","59","Fresh","4.7 out of 5 stars"
30," VersaceEros 3 Piece Mini Gift Set  Fresh,Lemon,Mint3 Piece SetOptions:2 scents4.5 out of 5 stars 2,038  200+ bought in past month$22.56$22.56 ($68.36$68.36/Fl Oz) FREE delivery Sat, Mar 2 on $35 of items shipped by AmazonOr fastest delivery Fri, Mar 1 More Buying Choices$20.99(14 new offers)","22","Fresh,Lemon,Mint","4.5 out of 5 stars"
31," VersaceEROS deo stick 75 ml  Mint2.5 Fl Oz (Pack of 1)4.6 out of 5 stars 646  100+ bought in past month$28.85$28.85 ($11.54$11.54/Ounce)FREE delivery Mar 4 - 5 ","28","Mint","4.6 out of 5 stars"
32," VersaceEros for Men's 4-Pc. Eros Eau de Toilette Gift Set  Fresh2.2 Fl Oz (Pack of 4)5.0 out of 5 stars 2  No featured offers available$142.01(2 new offers)",NA,"Fresh","5.0 out of 5 stars"
33," VersaceEros Eau de Toilette Spray for Men, 3.4 Fl Oz  Fresh,Lemon,Mint3.4 Fl Oz (Pack of 1)4.6 out of 5 stars 390  No featured offers available$67.00(6 new offers)",NA,"Fresh,Lemon,Mint","4.6 out of 5 stars"
34," VersaceEros Aftershave Balm, Fresh, 3.4 Oz  Fresh3.4 Fl Oz (Pack of 1)4.6 out of 5 stars 174  100+ bought in past month$35.00$35.00 ($10.29$10.29/Fl Oz) Typical: $38.68$38.68 FREE delivery Fri, Mar 8 Only 20 left in stock - order soon.More Buying Choices$34.64(13 new offers)","35","Fresh","4.6 out of 5 stars"
35," Eros Pour Femme Eau de Toilette, 1.7 oz  Fresh,Lemon,Raspberry1.69 Fl Oz (Pack of 1)4.4 out of 5 stars 113  $59.99$59.99 ($35.29$35.29/Fl Oz)Save more with Subscribe & Save FREE delivery Fri, Mar 8 Only 1 left in stock - order soon.More Buying Choices$59.77(12 new offers)","59","Fresh,Lemon,Raspberry","4.4 out of 5 stars"
36," VersaceEros/Versace EDT Splash Mini 0.17 oz (5.0 ml) (w)  Lemon,Orange,Raspberry1 Count (Pack of 1)4.1 out of 5 stars 100  100+ bought in past month$9.60$9.60 ($56.47$56.47/Fl Oz) List: $20.00$20.00 FREE delivery Sat, Mar 2 on $35 of items shipped by AmazonOr fastest delivery Thu, Feb 29 More Buying Choices$7.00(9 new offers)","9","Lemon,Orange,Raspberry","4.1 out of 5 stars"
37," VersaceVersace Eros After Shave for Men 3.4 Ounce / 100 Ml, 3.4 Fl Ounce  3.4 Fl Oz (Pack of 1)4.3 out of 5 stars 129  $44.54$44.54 ($13.10$13.10/Fl Oz) FREE delivery Fri, Mar 8 ","44","3.4 Fl Oz (Pack of 1)","4.3 out of 5 stars"
38," VersaceEROS FLAME 3 PIECE GIFT SET - 3.4 OZ EAU DE PARFUM SPRAY NEW  Fresh3 Piece Set3.8 out of 5 stars 4  $98.95$98.95 ($98.95$98.95/Count) Typical: $105.90$105.90FREE delivery Mar 11 - 12 Only 3 left in stock - order soon.","98","Fresh","3.8 out of 5 stars"
39," VersaceEROS by VERSACE  EROS3 Piece Set4.4 out of 5 stars 18  No featured offers available$150.98(5 new offers)",NA,"EROS","4.4 out of 5 stars"
40," VersaceMiniature Variety Trio Collection Perfume Gift Set for Men 0.17 oz/5 ml Splashes 1  0.17 Fl Oz (Pack of 3)4.3 out of 5 stars 78  400+ bought in past month$39.68$39.68 ($77.80$77.80/Fl Oz) Typical: $44.45$44.45FREE delivery Mar 4 - 5 ","39","0.17 Fl Oz (Pack of 3)","4.3 out of 5 stars"
41," VersaceEros Flame for Men Perfumed Deodorant Stick, 2.5 Ounce  Flame2.5 Ounce (Pack of 1)4.3 out of 5 stars 198  50+ bought in past month$28.33$28.33 ($11.33$11.33/Ounce) List: $32.00$32.00 FREE delivery Fri, Mar 8 on $35 of items shipped by AmazonOnly 9 left in stock - order soon.More Buying Choices$27.00(8 new offers)","28","Flame","4.3 out of 5 stars"
42," VersaceEros Eau De Toilette Spray 50ml/1.7oz  1.7 Ounce5.0 out of 5 stars 4  $58.45$58.45 ($34.38$34.38/Fl Oz)FREE delivery Mar 1 - 5 Or fastest delivery Mon, Mar 4 Only 19 left in stock - order soon.","58","1.7 Ounce","5.0 out of 5 stars"
43," VersaceEROS 3 PIECE GIFT SET - 3.4 OZ EAU DE PARFUM SPRAY NEW Box  Pineapple 3 Piece Set5.0 out of 5 stars 1  $105.00$105.00 ($105.00$105.00/Count) Typical: $109.99$109.99FREE delivery Fri, Mar 1 Only 18 left in stock - order soon.","105","Pineapple ","5.0 out of 5 stars"
44," VersaceEros Flame Eau de Parfum and Shower Gel 2 Piece Set for Men  Lemon,Vanilla2 Piece Set4.6 out of 5 stars 104  No featured offers available$118.99(3 new offers)",NA,"Lemon,Vanilla","4.6 out of 5 stars"
45," VersaceEros Pour Femme EDP Spray Sample Vial 1 Ml/0.03 Oz for Women  3.8 out of 5 stars 14  $6.99$6.99 ($233.00$233.00/Ounce)FREE delivery Feb 29 - Mar 4 Or fastest delivery Thu, Feb 29 ","6","14","3.8 out of 5 stars"
46," Versacefor Men Fragrance Sample Trio - Pour Homme, Man Eau Fraiche, & Eros  0.03 Fl Oz (Pack of 3)4.1 out of 5 stars 893  300+ bought in past month$12.95$12.95 ($130.81$130.81/Fl Oz) Typical: $15.90$15.90FREE delivery Mar 11 - 12 Only 13 left in stock - order soon.","12","0.03 Fl Oz (Pack of 3)","4.1 out of 5 stars"
47," Lion Versatile Cologne for Men (3.4oz/100ml x 5pcs), Impression of Eros, Red Flame, Dylan Blue, Pour Homme & Oud Noir, Edt, (Pack of 5)  Versatile3.4 Fl Oz (Pack of 5)2.7 out of 5 stars 11  300+ bought in past month$49.99$49.99 ($2.94$2.94/Fl Oz)$4.99 delivery Mar 5 - 7 Or fastest delivery Mar 4 - 6 ","49","Versatile","2.7 out of 5 stars"
48," Eros for Man | 6.7 Oz EDP Spray Gift Set with Lavender Soy Candle (5 ml), Car Air Fresheners, and Empty Travel Perfume Atomizer perfect kit for man  Lemon,Mint6.7 Fl Oz (Pack of 1)Options:3 sizes$109.99$109.99 ($16.42$16.42/Fl Oz)FREE delivery Mar 1 - 5 Or fastest delivery Wed, Feb 28 Only 6 left in stock - order soon.Small Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ","109","Lemon,Mint",""
